ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-09-01,72713.9938805265,-128827.06879131618,408568.3470569162,72713.9938805265,72713.9938805265,75297.14062313091,75297.14062313091,75297.14062313091,75297.14062313091,75297.14062313091,75297.14062313091,0.0,0.0,0.0,148011.1345036574
2016-10-01,116442.71578837647,-27606.328054767593,502535.3096106431,116442.71578837647,116442.71578837647,129657.79312805348,129657.79312805348,129657.79312805348,129657.79312805348,129657.79312805348,129657.79312805348,0.0,0.0,0.0,246100.50891642994
2016-12-01,205357.7836856364,-181045.66026912097,360132.9193366691,205357.7836856364,205357.7836856364,-131479.72165017048,-131479.72165017048,-131479.72165017048,-131479.72165017048,-131479.72165017048,-131479.72165017048,0.0,0.0,0.0,73878.0620354659
2017-01-01,250544.12966666822,24112.838521633654,556892.356971473,250544.12966666822,250544.12966666822,34639.5963345748,34639.5963345748,34639.5963345748,34639.5963345748,34639.5963345748,34639.5963345748,0.0,0.0,0.0,285183.726001243
2017-02-01,295730.47564235225,236387.33551682418,746635.049176979,295730.47564235225,295730.47564235225,192435.1640469138,192435.1640469138,192435.1640469138,192435.1640469138,192435.1640469138,192435.1640469138,0.0,0.0,0.0,488165.63968926604
2017-03-01,336543.9494175195,370079.6479202153,869352.3729521788,336543.9494175195,336543.9494175195,283765.19512909505,283765.19512909505,283765.19512909505,283765.19512909505,283765.19512909505,283765.19512909505,0.0,0.0,0.0,620309.1445466145
2017-04-01,381730.29537790373,242739.72040505442,787465.5819694499,381730.29537790373,381730.29537790373,135170.9620682902,135170.9620682902,135170.9620682902,135170.9620682902,135170.9620682902,135170.9620682902,0.0,0.0,0.0,516901.25744619395
2017-05-01,425459.0172731354,326090.24849726266,870559.358843584,425459.0172731354,425459.0172731354,175054.80989921416,175054.80989921416,175054.80989921416,175054.80989921416,175054.80989921416,175054.80989921416,0.0,0.0,0.0,600513.8271723496
2017-06-01,470645.36323302245,152405.7013932654,690192.2185277437,470645.36323302245,470645.36323302245,-42582.38537497847,-42582.38537497847,-42582.38537497847,-42582.38537497847,-42582.38537497847,-42582.38537497847,0.0,0.0,0.0,428062.977858044
2017-07-01,514374.0851201133,176784.41945595868,710639.9224264417,514374.0851201133,514374.0851201133,-64041.27065606215,-64041.27065606215,-64041.27065606215,-64041.27065606215,-64041.27065606215,-64041.27065606215,0.0,0.0,0.0,450332.8144640511
2017-08-01,559560.4310746038,228549.06649399214,766929.5239690723,559560.4310746038,559560.4310746038,-52749.292420282625,-52749.292420282625,-52749.292420282625,-52749.292420282625,-52749.292420282625,-52749.292420282625,0.0,0.0,0.0,506811.1386543212
2017-09-01,604746.7763324648,-20485.279419111157,526883.2932842444,604746.7763324648,604746.7763324648,-359102.5668477913,-359102.5668477913,-359102.5668477913,-359102.5668477913,-359102.5668477913,-359102.5668477913,0.0,0.0,0.0,245644.20948467345
2017-10-01,648475.4057151322,28553.107793831397,540509.1442660729,648475.4057151322,648475.4057151322,-374141.6447443722,-374141.6447443722,-374141.6447443722,-374141.6447443722,-374141.6447443722,-374141.6447443722,0.0,0.0,0.0,274333.76097076
2017-11-01,693661.6560448097,929852.087210223,1470512.1603268082,693661.6560448097,693661.6560448097,502509.5239822803,502509.5239822803,502509.5239822803,502509.5239822803,502509.5239822803,502509.5239822803,0.0,0.0,0.0,1196171.18002709
2017-12-01,737390.285397832,535061.6713690576,1054923.582138021,737390.285397832,737390.285397832,60100.271454092785,60100.271454092785,60100.271454092785,60100.271454092785,60100.271454092785,60100.271454092785,0.0,0.0,0.0,797490.5568519249
2018-01-01,782576.4567231204,716035.528995815,1235917.2030163428,782576.4567231204,782576.4567231204,189682.02693326378,189682.02693326378,189682.02693326378,189682.02693326378,189682.02693326378,189682.02693326378,0.0,0.0,0.0,972258.4836563842
2018-02-01,827762.628037327,550288.0946844082,1060600.7640774865,827762.628037327,827762.628037327,-22710.33760468299,-22710.33760468299,-22710.33760468299,-22710.33760468299,-22710.33760468299,-22710.33760468299,0.0,0.0,0.0,805052.290432644
2018-03-01,868575.9440679936,718149.0404716998,1226088.118104996,868575.9440679936,868575.9440679936,108781.71280681247,108781.71280681247,108781.71280681247,108781.71280681247,108781.71280681247,108781.71280681247,0.0,0.0,0.0,977357.656874806
2018-04-01,913762.1153881492,772309.60554037,1316410.4259455693,913762.1153881492,913762.1153881492,144757.69944712607,144757.69944712607,144757.69944712607,144757.69944712607,144757.69944712607,144757.69944712607,0.0,0.0,0.0,1058519.8148352753
2018-05-01,957490.6682823707,872089.2806353004,1417012.0017235277,957490.6682823707,957490.6682823707,186376.51518859668,186376.51518859668,186376.51518859668,186376.51518859668,186376.51518859668,186376.51518859668,0.0,0.0,0.0,1143867.1834709672
2018-06-01,1002676.8396037841,834720.2620818324,1379206.5933308613,1002676.8396037841,1002676.8396037841,101300.438478736,101300.438478736,101300.438478736,101300.438478736,101300.438478736,101300.438478736,0.0,0.0,0.0,1103977.2780825202
2018-07-01,1046405.3924954745,933007.4729423316,1474813.1545166583,1046405.3924954745,1046405.3924954745,158901.79495262337,158901.79495262337,158901.79495262337,158901.79495262337,158901.79495262337,158901.79495262337,0.0,0.0,0.0,1205307.1874480979
2018-08-01,1091591.5638168883,923630.8120178621,1462825.3286608981,1091591.5638168883,1091591.5638168883,86721.89735702478,86721.89735702478,86721.89735702478,86721.89735702478,86721.89735702478,86721.89735702478,0.0,0.0,0.0,1178313.461173913
2018-09-01,1136777.7351383017,62935.32844602971,616360.1124668462,1136777.7351383017,1136777.7351383017,-801888.0653988377,-801888.0653988377,-801888.0653988377,-801888.0653988377,-801888.0653988377,-801888.0653988377,0.0,0.0,0.0,334889.66973946407
2018-10-01,1180506.2880299923,33469.59757614759,587781.424791074,1180506.2880299923,1180506.2880299923,-862867.4469654572,-862867.4469654572,-862867.4469654572,-862867.4469654572,-862867.4469654572,-862867.4469654572,0.0,0.0,0.0,317638.8410645351
2018-10-31,1224234.8409216825,4246905.729838153,4792273.1190118035,1224234.8337141795,1224234.8466770838,3304068.1322965105,3304068.1322965105,3304068.1322965105,3304068.1322965105,3304068.1322965105,3304068.1322965105,0.0,0.0,0.0,4528302.973218193
2018-11-30,1267963.393813373,1990391.1675722061,2480411.887747786,1267963.3715014495,1267963.411732096,945834.0577236761,945834.0577236761,945834.0577236761,945834.0577236761,945834.0577236761,945834.0577236761,0.0,0.0,0.0,2213797.4515370494
2018-12-31,1313149.5651347865,1867160.7276318788,2388486.2762126634,1313149.5219315349,1313149.5990185477,823154.5392003157,823154.5392003157,823154.5392003157,823154.5392003157,823154.5392003157,823154.5392003157,0.0,0.0,0.0,2136304.1043351023
2019-01-31,1358335.7364562,-127539.92200873033,422819.0137714935,1358335.6664126024,1358335.7919546561,-1200371.205173868,-1200371.205173868,-1200371.205173868,-1200371.205173868,-1200371.205173868,-1200371.205173868,0.0,0.0,0.0,157964.53128233203
2019-02-28,1399149.0524884446,427866.6495656742,957497.7434545129,1399148.9543340039,1399149.134518925,-706018.994424873,-706018.994424873,-706018.994424873,-706018.994424873,-706018.994424873,-706018.994424873,0.0,0.0,0.0,693130.0580635716
2019-03-31,1444335.223809858,1446109.607967015,1990649.5565055374,1444335.0903915511,1444335.3364144133,271877.84286541137,271877.84286541137,271877.84286541137,271877.84286541137,271877.84286541137,271877.84286541137,0.0,0.0,0.0,1716213.0666752695
